Kjonn,Alder,ContentsCode,År,Alle Næringer,"Jordbruk, Skogbruk og Fiske",Bergverksdrift og Utvinning,Industri,"Elektrisitet, Vann og Renovasjon",Bygge- og Annleggsvirksomhet,"Varehandel, Reperasjon av Motorvogner",Transport og Lagring,Overnattings- og Serveringsvirksomhet,Informasjon og Kommunikasjon,Finansiering og Forsikring,"Teknisk Tjenesteyting, Eiendomsdrift",Forretningsmessig Tjenesteyting,"Off.Adm., Forsvar, Sosialforsikring",Undervisning,Helse- og Sosialtjenester,Personlig Tjenesteyting,Uoppgitt
Begge Kjønn,15-74,Sysselsatte,2008,29445,1400,810,6160,429,2307,3336,1827,825,347,250,1055,942,1062,2263,5565,725,142
Begge Kjønn,15-74,Sysselsatte,2009,29185,1370,847,5926,447,2356,3223,1775,785,364,236,1110,877,1017,2286,5784,658,124
Begge Kjønn,15-74,Sysselsatte,2010,28908,1327,1052,5382,468,2317,3304,1726,709,391,232,1118,808,1035,2328,5882,668,161
Begge Kjønn,15-74,Sysselsatte,2011,29332,1347,1018,5390,483,2434,3298,1603,692,381,216,1152,992,1066,2326,6112,679,143
Begge Kjønn,15-74,Sysselsatte,2012,29527,1298,1108,5660,485,2395,3194,1545,645,409,203,1215,1062,1100,2312,6111,655,130
Begge Kjønn,15-74,Sysselsatte,2013,29873,1247,1186,5734,481,2428,3229,1554,738,396,201,1301,1059,1115,2358,6050,660,136
Begge Kjønn,15-74,Sysselsatte,2014,30051,1230,1203,5756,482,2499,3258,1619,793,374,196,1274,1051,1125,2374,6024,670,123
Begge Kjønn,15-74,Sysselsatte,2015,29086,1309,1094,5282,492,2525,3074,1527,665,336,185,1167,931,1079,2365,6092,690,273
Begge Kjønn,15-74,Sysselsatte,2016,28675,1372,988,4824,490,2545,3096,1449,707,311,157,1172,887,1085,2400,6273,675,244
Begge Kjønn,15-74,Sysselsatte,2017,29079,1446,1000,4822,491,2688,3065,1474,755,343,149,1187,982,1124,2376,6251,715,211
Begge Kjønn,15-74,Sysselsatte,2018,29320,1463,1064,5054,449,2782,2960,1493,737,354,150,1192,1076,1032,2333,6299,691,191
Begge Kjønn,15-74,Sysselsatte,2019,29654,1481,1144,5126,471,2745,2917,1514,793,419,130,1172,1095,1004,2322,6392,725,204
Begge Kjønn,15-74,Sysselsatte,2020,29369,1495,1149,5050,505,2699,2834,1442,715,391,136,1156,1098,1037,2350,6453,698,161
